fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,company_name,symbol
2009-06-30,USD,9395000000,18662000000,9267000000,9267000000,3380000000,5488000000,1864000000,5822000000,None,None,None,328000000,None,16000000,None,854000000,3216000000,745000000,None,2323000000,None,3544000000,4398000000,2471000000,The Procter & Gamble Company,PG
2009-03-31,USD,9256000000,18417000000,9161000000,9161000000,3553000000,5194000000,None,5526000000,None,None,None,337000000,None,34000000,None,725000000,3434000000,821000000,None,2429000000,None,3771000000,4496000000,2613000000,The Procter & Gamble Company,PG
2008-12-31,USD,10518000000,20368000000,9850000000,9850000000,4055000000,5909000000,None,6267000000,None,None,None,354000000,None,67000000,None,693000000,5959000000,955000000,None,2813000000,None,6313000000,7006000000,5004000000,The Procter & Gamble Company,PG
2008-09-30,USD,11121000000,22026000000,10905000000,10905000000,4386000000,6039000000,None,6436000000,None,None,None,339000000,None,280000000,None,810000000,4560000000,1212000000,None,3115000000,None,4899000000,5709000000,3348000000,The Procter & Gamble Company,PG
2024-06-30,USD,7991000000,9094000000,1103000000,5575000000,6600000000,924000000,300000000,1391000000,200000000,-48000000,200000000,248000000,None,None,None,83000000,1391000000,125000000,None,1320000000,2834000000,6600000000,6683000000,1266000000,General Electric Company,GE
2024-03-31,USD,13397000000,16053000000,2656000000,11515000000,10252000000,2269000000,507000000,3145000000,252000000,-26000000,252000000,278000000,17000000,None,None,145000000,1855000000,318000000,None,1522000000,2084000000,10252000000,10397000000,1537000000,General Electric Company,GE
2023-12-31,USD,5027000000,19423000000,14396000000,14396000000,5027000000,2524000000,551000000,3484000000,205000000,-91000000,205000000,296000000,18514000000,None,None,158000000,2012000000,421000000,None,1589000000,-1208000000,5027000000,5185000000,1591000000,General Electric Company,GE
2023-09-30,USD,14873000000,17346000000,2473000000,12905000000,12044000000,2171000000,471000000,2829000000,193000000,-93000000,849000000,286000000,7000000,None,None,149000000,486000000,138000000,None,175000000,571000000,12044000000,12193000000,348000000,General Electric Company,GE
2023-06-30,USD,14037000000,8755000000,2662000000,12362000000,10920000000,913000000,239000000,3117000000,128000000,-112000000,155000000,267000000,26000000,692000000,None,160000000,368000000,253000000,None,1254000000,-251000000,10920000000,11080000000,33000000,General Electric Company,GE
2023-03-31,USD,12043000000,14486000000,2443000000,10729000000,9169000000,2142000000,431000000,2926000000,186000000,-83000000,6082000000,269000000,-41000000,6081000000,None,140000000,7777000000,271000000,None,6248000000,6489000000,9169000000,9309000000,7506000000,General Electric Company,GE
2022-12-31,USD,6319000000,16828000000,15467000000,12440000000,6319000000,6272000000,1544000000,4992000000,187000000,-416000000,2436000000,300000000,21011000000,None,None,244000000,2495000000,273000000,465000000,3469000000,-1135000000,6319000000,6563000000,2197000000,General Electric Company,GE
2022-09-30,USD,15752000000,14470000000,3332000000,11534000000,11756000000,1966000000,426000000,3996000000,123000000,-265000000,125000000,390000000,0,None,None,237000000,174000000,13000000,0,-243000000,-318000000,11756000000,11993000000,161000000,General Electric Company,GE
2022-06-30,USD,15482000000,14127000000,3164000000,13244000000,11626000000,1817000000,439000000,3856000000,54000000,-352000000,42000000,394000000,9000000,None,None,237000000,-721000000,161000000,0,-1133000000,-823000000,11626000000,11863000000,-882000000,General Electric Company,GE
2022-03-31,USD,12245000000,12675000000,4795000000,12453000000,6824000000,2725000000,403000000,5421000000,93000000,-538000000,107000000,538000000,39000000,None,None,1025000000,-1107000000,29000000,0,-1224000000,-391000000,6824000000,7849000000,-1136000000,General Electric Company,GE
2021-12-31,USD,5965000000,20303000000,14338000000,14338000000,5965000000,3213000000,705000000,4309000000,104000000,-426000000,1143000000,426000000,19492000000,None,None,278000000,-3806000000,37000000,3658000000,-3504000000,2816000000,5965000000,6243000000,-3843000000,General Electric Company,GE
2021-09-30,USD,2009000000,18569000000,16420000000,13401000000,-1665000000,2745000000,627000000,3674000000,133000000,20000000,482000000,462000000,16000000,None,None,272000000,1259000000,2000000,463000000,655000000,3999000000,-1665000000,-1393000000,1257000000,General Electric Company,GE
2021-06-30,USD,1507000000,18253000000,16772000000,13618000000,-2281000000,2863000000,604000000,3788000000,233000000,114000000,602000000,488000000,-1402000000,None,None,288000000,-1597000000,-466000000,1416000000,-568000000,-58000000,-2281000000,-1993000000,-1131000000,General Electric Company,GE
2021-03-31,USD,1388000000,17071000000,15730000000,12538000000,-2397000000,2894000000,561000000,3782000000,446000000,-61000000,439000000,500000000,3000000,None,None,301000000,-2660000000,142000000,0,92000000,-1947000000,-2397000000,-2096000000,-2802000000,General Electric Company,GE
2020-12-31,USD,5263000000,21033000000,15770000000,15770000000,5263000000,3284000000,636000000,5944000000,None,-737000000,2012000000,737000000,20264000000,2957000000,None,306000000,2738000000,102000000,-1552000000,2477000000,2386000000,5263000000,5569000000,2636000000,General Electric Company,GE
2020-09-30,USD,374000000,18609000000,19043000000,14042000000,-3478000000,3215000000,595000000,3852000000,None,-1327000000,1405000000,745000000,15000000,-517000000,None,428000000,-1627000000,-483000000,526000000,-1087000000,-449000000,-3478000000,-3050000000,-1144000000,General Electric Company,GE
2020-06-30,USD,-2437000000,16811000000,20187000000,13633000000,-7670000000,3068000000,611000000,5233000000,None,958000000,1955000000,997000000,-123000000,2078000000,None,308000000,-2147000000,-160000000,205000000,-994000000,-1362000000,-7670000000,-7362000000,-1987000000,General Electric Company,GE
2020-03-31,USD,1424000000,19380000000,19100000000,14426000000,-2090000000,3061000000,723000000,-8858000000,None,-794000000,6388000000,794000000,12372000000,6869000000,991000000,340000000,6253000000,54000000,None,6218000000,7113000000,-2090000000,-1750000000,6199000000,General Electric Company,GE
2019-12-31,USD,2742000000,21245000000,23496000000,15962000000,-1640000000,3686000000,4164000000,4382000000,None,2797000000,336000000,955000000,433000000,2064000000,1057000000,349000000,1281000000,553000000,None,-176000000,357000000,-1640000000,-1291000000,728000000,General Electric Company,GE
2019-09-30,USD,1503000000,23360000000,21857000000,17328000000,-3125000000,3293000000,None,4628000000,None,-1279000000,689000000,1279000000,46000000,158000000,1004000000,496000000,-9382000000,41000000,None,-1283000000,-7931000000,-3125000000,-2629000000,-9423000000,General Electric Company,GE
2019-06-30,USD,1632000000,23414000000,27199000000,17412000000,-3917000000,3425000000,None,5549000000,None,-991000000,824000000,991000000,-25128000000,None,1487000000,454000000,-54000000,-181000000,None,-114000000,760000000,-3917000000,-3463000000,127000000,General Electric Company,GE
2019-03-31,USD,2324000000,22202000000,24962000000,16208000000,-2002000000,3402000000,None,4326000000,None,-1133000000,None,1133000000,25342000000,None,995000000,463000000,3728000000,140000000,None,960000000,4517000000,-2002000000,-1539000000,3588000000,General Electric Company,GE
2018-12-31,USD,28015000000,26499000000,5263000000,20574000000,19412000000,3630000000,4065000000,8603000000,None,None,None,1252000000,33278000000,None,1062000000,536000000,394000000,-367000000,None,696000000,-423000000,19412000000,19948000000,761000000,General Electric Company,GE
2018-09-30,USD,2745000000,23392000000,26828000000,17847000000,-24092000000,4100000000,None,26837000000,None,None,None,1227000000,29574000000,None,1257000000,831000000,-22717000000,52000000,None,-22917000000,-22566000000,-24092000000,-23261000000,-22769000000,General Electric Company,GE
2018-06-30,USD,25616000000,29162000000,4488000000,21749000000,21116000000,4346000000,None,4500000000,None,None,None,1295000000,30104000000,None,1395000000,547000000,1304000000,504000000,None,864000000,229000000,21116000000,21663000000,800000000,General Electric Company,GE
2018-03-31,USD,2317000000,27788000000,26343000000,20911000000,-2560000000,4088000000,None,4877000000,None,None,None,1285000000,26002000000,None,1272000000,613000000,-1197000000,-50000000,None,261000000,395000000,-2560000000,-1947000000,-1147000000,General Electric Company,GE
2017-12-31,USD,-8303000000,12639000000,39704000000,25688000000,-15438000000,1077000000,5504000000,7135000000,None,None,None,1324000000,31604000000,None,617000000,577000000,-12933000000,-2115000000,None,-10832000000,-10687000000,-15438000000,-14861000000,-10818000000,General Electric Company,GE
2017-09-30,USD,4523000000,30662000000,28949000000,24094000000,-1436000000,4741000000,None,5959000000,None,None,None,1232000000,30662000000,None,1397000000,630000000,809000000,-551000000,None,1429000000,2282000000,-1436000000,-806000000,1360000000,General Electric Company,GE
2017-06-30,USD,3478000000,29097000000,26080000000,21793000000,-942000000,4152000000,None,4420000000,None,None,None,1174000000,29097000000,None,1125000000,679000000,1019000000,-38000000,None,1028000000,2366000000,-942000000,-263000000,1057000000,General Electric Company,GE
2017-03-31,USD,2667000000,26881000000,24993000000,20359000000,-2433000000,4287000000,None,5100000000,None,None,None,1139000000,26880000000,None,1193000000,404000000,-188000000,-105000000,None,122000000,1739000000,-2433000000,-2029000000,-83000000,General Electric Company,GE
2016-12-31,USD,7027000000,2649000000,-4378000000,23773000000,7027000000,3923000000,5480000000,10290000000,None,None,None,1002000000,None,None,1356000000,1356000000,2232000000,-1435000000,None,397000000,-1827000000,7027000000,4591000000,3667000000,General Electric Company,GE
2016-09-30,USD,6388000000,29266000000,22878000000,20966000000,-624000000,4343000000,None,4581000000,None,None,None,961000000,None,None,1136000000,3641000000,2045000000,18000000,None,2097000000,2504000000,-624000000,3719000000,2027000000,General Electric Company,GE
2016-06-30,USD,6192000000,33494000000,27302000000,22383000000,142000000,4883000000,None,5636000000,None,None,None,1326000000,None,None,1294000000,450000000,3369000000,461000000,None,3300000000,3715000000,142000000,592000000,2908000000,General Electric Company,GE
2016-03-31,USD,5516000000,27845000000,22329000000,20361000000,-3513000000,4608000000,None,5312000000,None,None,None,1736000000,None,None,1210000000,445000000,51000000,-177000000,None,248000000,1052000000,-3513000000,-3068000000,228000000,General Electric Company,GE
2015-12-31,USD,7556000000,2585000000,-4971000000,25255000000,7556000000,4773000000,5278000000,25927000000,None,None,None,1235000000,None,None,1210000000,210000000,5559000000,-742000000,None,-1447000000,6755000000,7556000000,7766000000,6301000000,General Electric Company,GE
2015-09-30,USD,6275000000,2660000000,-3615000000,19249000000,10819000000,4258000000,None,437000000,None,None,None,1462000000,None,None,1265000000,437000000,2871000000,365000000,None,-154000000,3727000000,10819000000,11256000000,2506000000,General Electric Company,GE
2015-06-30,USD,6033000000,2690000000,-3343000000,20023000000,11088000000,4385000000,None,430000000,None,None,None,1286000000,None,None,1188000000,430000000,-561000000,799000000,None,-332000000,2798000000,11088000000,11518000000,-1360000000,General Electric Company,GE
2015-03-31,USD,5514000000,2866000000,-2648000000,18166000000,5351000000,4415000000,None,490000000,None,None,None,1930000000,None,None,1101000000,490000000,-7279000000,6294000000,None,-5721000000,-17764000000,5351000000,5841000000,-13573000000,General Electric Company,GE
2014-12-31,USD,11955000000,22589000000,30049000000,23043000000,94893000000,8810000000,5273000000,11286000000,None,None,None,2366000000,None,None,1101000000,473000000,4891000000,-261000000,None,1519000000,-4911000000,94893000000,95366000000,5152000000,General Electric Company,GE
2014-09-30,USD,15012000000,32107000000,21162000000,19740000000,-17247000000,8543000000,None,375000000,None,None,None,2357000000,None,None,1424000000,465000000,3937000000,401000000,None,2831000000,2585000000,-17247000000,-16782000000,3536000000,General Electric Company,GE
2014-06-30,USD,14828000000,32260000000,21405000000,20006000000,5869000000,8477000000,None,394000000,None,None,None,2345000000,None,None,1182000000,431000000,3738000000,192000000,None,2884000000,4236000000,5869000000,6300000000,3546000000,General Electric Company,GE
2014-03-31,USD,14266000000,33548000000,19912000000,18522000000,5212000000,8196000000,None,442000000,None,None,None,2414000000,None,None,2189000000,420000000,3618000000,619000000,None,2747000000,4270000000,5212000000,5632000000,2999000000,General Electric Company,GE
2013-12-31,USD,14860000000,7582000000,25327000000,21880000000,-85516000000,9069000000,5461000000,6983000000,None,None,None,2468000000,None,None,-1950000000,454000000,3259000000,53000000,None,-2568000000,11949000000,-85516000000,-85062000000,3206000000,General Electric Company,GE
2013-09-30,USD,15018000000,35661000000,20707000000,19457000000,5860000000,8705000000,None,457000000,None,None,None,2462000000,None,None,2577000000,429000000,3539000000,348000000,None,3282000000,3791000000,5860000000,6289000000,3191000000,General Electric Company,GE
2013-06-30,USD,15177000000,35059000000,19946000000,18488000000,5628000000,8573000000,None,429000000,None,None,None,2617000000,None,None,2266000000,429000000,3443000000,310000000,None,3257000000,4334000000,5628000000,6057000000,3133000000,General Electric Company,GE
2013-03-31,USD,15516000000,34943000000,19494000000,17316000000,4874000000,8796000000,None,690000000,None,None,None,2621000000,None,None,2309000000,399000000,4035000000,508000000,None,3647000000,4093000000,4874000000,5273000000,3527000000,General Electric Company,GE
2012-12-31,USD,8240000000,11770000000,3530000000,18733000000,6719000000,11396000000,5200000000,17947000000,None,None,None,2960000000,None,None,2493000000,536000000,4827000000,816000000,None,1503000000,4102000000,6719000000,7255000000,4011000000,General Electric Company,GE
2012-09-30,USD,6025000000,36254000000,30229000000,18509000000,5239000000,9713000000,None,359000000,None,None,None,2979000000,None,None,2193000000,359000000,4048000000,557000000,None,3450000000,5893000000,5239000000,5598000000,3491000000,General Electric Company,GE
2012-06-30,USD,5800000000,36397000000,30597000000,19199000000,5872000000,9163000000,None,6000000,None,None,None,3211000000,None,None,2193000000,372000000,3601000000,496000000,None,3658000000,2515000000,5872000000,6244000000,3105000000,General Electric Company,GE
2012-03-31,USD,5653000000,35080000000,29427000000,17869000000,5057000000,9166000000,None,50000000,None,None,None,3358000000,None,None,2220000000,348000000,3699000000,665000000,None,3231000000,4875000000,5057000000,5405000000,3034000000,General Electric Company,GE
2011-12-31,USD,9095000000,11577000000,2482000000,17463000000,6031000000,711000000,4601000000,18448000000,None,None,None,3236000000,None,None,2042000000,482000000,4204000000,474000000,None,1420000000,-6580000000,6031000000,6513000000,3730000000,General Electric Company,GE
